Age,Gender,Education,Country,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,CNS_depressants,CNS_stimulants,Cannabis,Nicotine,Hallucinogens
3,-1,0,UK,39.0,34.0,37.0,33.0,37.0,-1.37983,0.07987,6,1,1,2,2,1
2,-1,2,UK,28.0,31.0,46.0,46.0,42.0,0.19268,-0.84637,6,1,1,3,6,1
0,-1,2,UK,40.0,38.0,48.0,51.0,41.0,-0.71126,-1.54858,6,0,0,0,0,0
2,-1,2,USA,46.0,44.0,52.0,23.0,36.0,0.52975,1.92173,4,2,2,2,5,1
5,-1,0,UK,33.0,34.0,28.0,41.0,36.0,0.52975,-1.54858,3,0,0,0,6,0
2,-1,2,UK,33.0,36.0,45.0,43.0,30.0,-0.21712,-0.21575,6,0,0,0,0,0
4,-1,0,USA,39.0,42.0,53.0,44.0,37.0,0.52975,-0.52593,6,2,1,3,6,1
3,-1,2,UK,22.0,48.0,48.0,43.0,47.0,-0.21712,-0.84637,6,0,1,1,1,1
5,1,1,UK,33.0,33.0,38.0,38.0,45.0,-1.37983,-0.21575,6,0,4,1,1,0
2,-1,2,UK,36.0,37.0,46.0,29.0,47.0,-0.71126,0.07987,5,2,1,0,1,0
2,1,2,UK,44.0,40.0,53.0,54.0,39.0,-0.21712,-0.21575,4,0,0,0,1,0
2,-1,2,UK,34.0,33.0,37.0,43.0,37.0,-0.21712,-0.52593,6,5,6,2,1,0
2,-1,1,UK,27.0,36.0,44.0,42.0,34.0,-0.21712,-0.21575,6,2,3,3,6,2
1,-1,2,UK,26.0,49.0,49.0,51.0,48.0,-0.21712,0.07987,5,0,0,0,2,0
1,1,2,UK,31.0,43.0,54.0,49.0,52.0,-1.37983,-2.07848,5,0,0,0,0,0
3,1,1,Canada,39.0,44.0,38.0,45.0,51.0,-0.71126,-0.84637,3,0,1,1,2,1
3,-1,2,UK,19.0,45.0,48.0,49.0,49.0,-2.55524,-1.18084,5,0,0,1,0,0
3,-1,0,UK,37.0,34.0,44.0,42.0,37.0,0.19268,-0.84637,6,1,1,5,6,1
1,1,2,UK,44.0,36.0,32.0,37.0,44.0,0.52975,1.2247,6,0,0,0,5,0
2,-1,2,UK,46.0,39.0,45.0,35.0,42.0,-0.71126,-0.84637,6,2,3,3,6,3
3,-1,1,Canada,47.0,46.0,42.0,37.0,27.0,1.86203,1.92173,2,1,1,2,2,1
4,1,2,UK,34.0,40.0,36.0,45.0,36.0,0.52975,-1.54858,5,0,0,0,1,0
3,-1,2,UK,23.0,39.0,53.0,45.0,44.0,-0.21712,-0.21575,5,1,1,1,1,1
4,-1,0,UK,36.0,47.0,42.0,36.0,33.0,1.29221,1.2247,6,0,6,2,1,1
4,1,1,UK,36.0,35.0,38.0,40.0,39.0,-1.37983,-2.07848,3,0,0,0,0,0
2,1,1,UK,36.0,40.0,34.0,43.0,44.0,-1.37983,-1.54858,5,0,0,0,0,0
1,1,2,UK,30.0,44.0,32.0,45.0,47.0,-0.71126,-0.52593,1,0,0,0,0,0
3,-1,0,UK,38.0,44.0,46.0,40.0,39.0,1.86203,1.2247,5,3,5,5,6,2
3,-1,2,UK,31.0,31.0,37.0,32.0,41.0,-1.37983,-1.54858,5,0,0,0,0,0
1,1,2,UK,49.0,42.0,48.0,41.0,40.0,-1.37983,0.07987,5,3,0,0,1,0
3,-1,2,UK,18.0,50.0,54.0,44.0,50.0,-1.37983,-1.18084,5,0,1,1,0,1
1,-1,2,UK,30.0,30.0,33.0,34.0,45.0,-1.37983,-1.18084,5,0,0,0,4,0
3,-1,2,UK,46.0,38.0,41.0,39.0,42.0,-1.37983,-1.18084,5,0,0,0,0,0
3,-1,2,UK,22.0,43.0,53.0,40.0,48.0,-1.37983,-0.52593,6,1,4,6,1,1
2,-1,1,UK,43.0,43.0,40.0,50.0,46.0,0.52975,-0.21575,5,3,0,0,0,0
3,-1,0,UK,26.0,35.0,38.0,51.0,45.0,-0.71126,-1.18084,4,0,0,0,0,0
1,-1,2,UK,32.0,38.0,53.0,37.0,41.0,0.88113,-0.21575,5,1,1,2,5,1
3,1,0,UK,35.0,35.0,34.0,45.0,42.0,-1.37983,-0.84637,6,6,0,0,1,0
1,-1,1,UK,32.0,38.0,47.0,30.0,40.0,0.52975,0.7654,6,2,3,2,2,2
3,1,0,Canada,31.0,47.0,44.0,50.0,43.0,-2.55524,-0.84637,5,0,0,1,6,0
3,-1,0,UK,22.0,46.0,46.0,46.0,48.0,0.19268,0.40148,6,1,1,1,2,0
3,-1,1,UK,29.0,36.0,44.0,45.0,49.0,-0.71126,-0.21575,6,0,0,0,1,0
5,1,0,UK,25.0,27.0,26.0,33.0,44.0,0.52975,-2.07848,3,0,0,0,1,0
1,-1,2,UK,34.0,41.0,35.0,38.0,39.0,0.52975,-0.21575,5,0,0,1,0,0
3,1,0,Canada,32.0,35.0,35.0,46.0,46.0,-2.55524,-2.07848,4,0,0,0,6,0
2,-1,2,UK,37.0,28.0,42.0,35.0,39.0,-0.21712,-2.07848,3,0,1,2,6,1
2,-1,1,UK,28.0,34.0,31.0,32.0,25.0,-2.55524,-1.18084,6,1,1,1,3,0
2,-1,1,UK,32.0,34.0,32.0,50.0,37.0,-0.21712,-0.21575,5,0,0,0,1,0
5,1,2,Canada,36.0,42.0,49.0,42.0,51.0,-0.21712,-0.21575,6,3,1,1,0,0
4,1,2,UK,28.0,31.0,46.0,37.0,41.0,0.88113,0.40148,5,1,1,2,1,1
4,-1,2,Canada,19.0,49.0,39.0,47.0,51.0,-0.21712,-1.18084,5,0,0,0,0,0
4,1,0,UK,46.0,33.0,38.0,52.0,29.0,0.19268,-0.21575,3,5,0,1,6,0
3,-1,0,UK,32.0,41.0,44.0,41.0,41.0,-1.37983,0.07987,5,0,0,2,0,0
1,1,0,UK,31.0,40.0,35.0,44.0,45.0,0.52975,1.2247,3,1,0,1,6,0
2,-1,1,UK,43.0,39.0,38.0,44.0,41.0,-0.21712,0.40148,5,1,0,1,6,0
4,-1,0,UK,27.0,41.0,43.0,41.0,44.0,-0.71126,0.40148,5,0,0,1,0,0
2,1,1,UK,39.0,26.0,36.0,38.0,38.0,-1.37983,-2.07848,3,1,0,2,1,1
2,1,2,UK,45.0,36.0,48.0,39.0,40.0,0.52975,-0.21575,5,2,1,0,0,1
2,1,2,UK,49.0,42.0,51.0,45.0,36.0,-1.37983,0.07987,6,0,0,3,4,0
2,-1,1,Canada,40.0,37.0,51.0,45.0,47.0,0.88113,0.7654,2,3,0,1,1,1
1,-1,0,UK,22.0,38.0,43.0,45.0,42.0,-0.71126,-0.84637,4,0,0,1,1,0
5,1,0,UK,34.0,34.0,39.0,48.0,45.0,-1.37983,-1.54858,3,0,0,0,0,0
3,-1,2,UK,29.0,36.0,39.0,47.0,41.0,-1.37983,-2.07848,5,3,0,2,3,0
3,-1,2,UK,31.0,42.0,53.0,32.0,49.0,0.52975,-0.21575,6,1,1,1,1,1
2,1,2,Canada,37.0,32.0,48.0,42.0,47.0,-1.37983,-1.54858,4,0,1,2,3,1
3,1,2,UK,31.0,44.0,44.0,39.0,33.0,0.19268,-0.84637,5,1,1,1,2,0
2,-1,2,Canada,25.0,37.0,46.0,39.0,48.0,-0.21712,1.2247,4,0,1,1,2,1
1,1,2,UK,29.0,58.0,51.0,49.0,52.0,0.52975,0.40148,6,3,2,3,5,0
3,1,0,Australia,30.0,43.0,34.0,42.0,48.0,-1.37983,-0.84637,4,0,0,1,6,0
3,-1,0,UK,30.0,48.0,55.0,34.0,42.0,-0.71126,1.2247,6,4,4,1,1,2
3,1,1,Canada,36.0,44.0,44.0,41.0,43.0,0.19268,0.7654,4,0,0,0,0,0
1,1,1,Canada,27.0,41.0,45.0,50.0,46.0,-0.71126,0.07987,5,0,2,6,6,2
2,-1,1,UK,18.0,43.0,33.0,38.0,54.0,-1.37983,-1.54858,3,0,0,0,0,0
1,1,1,UK,46.0,38.0,33.0,45.0,39.0,-1.37983,-0.84637,4,0,0,0,0,0
2,1,0,UK,37.0,40.0,37.0,38.0,46.0,0.52975,-0.21575,5,0,3,0,6,0
1,1,2,UK,31.0,53.0,47.0,44.0,47.0,1.86203,1.2247,5,3,4,3,1,0
3,1,1,UK,28.0,43.0,36.0,37.0,38.0,-0.71126,0.07987,5,0,1,2,3,0
3,-1,2,UK,34.0,42.0,47.0,41.0,41.0,0.19268,-0.52593,5,0,0,0,0,0
1,-1,2,UK,39.0,32.0,40.0,39.0,37.0,0.19268,0.40148,6,0,1,3,0,1
1,1,2,UK,25.0,42.0,52.0,35.0,36.0,-0.21712,-0.21575,3,0,0,2,6,0
3,1,1,UK,36.0,44.0,48.0,44.0,47.0,0.19268,-0.21575,4,1,0,2,6,0
2,-1,1,UK,17.0,52.0,55.0,38.0,31.0,1.86203,1.2247,4,2,2,6,6,2
1,1,1,Canada,38.0,36.0,40.0,45.0,49.0,-1.37983,-2.07848,5,2,2,2,6,2
2,-1,1,Canada,42.0,36.0,47.0,31.0,39.0,0.52975,-0.21575,4,0,0,2,6,0
1,1,2,UK,51.0,45.0,55.0,44.0,33.0,0.52975,0.40148,5,3,3,1,4,3
2,1,1,USA,53.0,26.0,29.0,50.0,44.0,-0.21712,-1.54858,5,6,1,1,6,1
2,1,2,UK,32.0,44.0,39.0,45.0,51.0,-0.21712,-0.84637,5,0,0,0,2,0
1,1,2,UK,26.0,44.0,39.0,36.0,47.0,0.19268,1.92173,6,0,1,1,2,1
2,1,1,UK,50.0,31.0,35.0,29.0,36.0,0.52975,0.07987,2,0,0,0,1,0
4,-1,2,UK,38.0,41.0,45.0,41.0,35.0,-0.21712,-0.52593,6,0,0,1,1,0
1,1,2,UK,38.0,35.0,43.0,43.0,43.0,1.29221,0.07987,5,0,2,3,3,0
3,-1,0,UK,32.0,52.0,48.0,46.0,46.0,-0.21712,-0.21575,3,0,0,0,0,0
4,-1,2,UK,31.0,48.0,49.0,44.0,49.0,0.52975,0.40148,6,0,0,0,2,0
3,-1,2,UK,25.0,44.0,38.0,40.0,42.0,-0.21712,-0.84637,5,1,1,1,0,1
3,1,0,UK,32.0,34.0,40.0,45.0,48.0,-1.37983,-2.07848,5,0,0,0,0,0
2,-1,2,UK,36.0,44.0,47.0,44.0,44.0,-0.21712,-1.18084,0,2,0,0,1,0
3,1,2,UK,28.0,46.0,38.0,49.0,45.0,0.19268,0.40148,6,0,0,0,0,0
3,1,0,UK,45.0,42.0,36.0,46.0,55.0,-0.71126,-1.18084,5,0,0,0,0,0
3,1,0,UK,22.0,39.0,37.0,57.0,46.0,-1.37983,-2.07848,4,2,0,0,6,0
2,1,0,Ireland,33.0,36.0,42.0,42.0,44.0,-1.37983,-1.54858,4,0,0,0,6,0
2,-1,2,UK,35.0,41.0,48.0,42.0,43.0,0.52975,0.40148,5,1,0,1,5,0
1,1,2,UK,60.0,29.0,44.0,47.0,37.0,-1.37983,0.40148,6,0,2,1,2,0
2,1,0,UK,21.0,50.0,42.0,54.0,52.0,0.52975,-0.52593,1,0,0,0,0,0
3,1,2,UK,34.0,38.0,34.0,54.0,52.0,1.29221,0.07987,5,0,0,1,0,0
3,1,2,UK,25.0,50.0,48.0,48.0,45.0,-2.55524,-1.18084,4,0,0,0,5,0
4,-1,2,UK,31.0,34.0,47.0,45.0,48.0,-1.37983,-1.18084,6,4,2,1,6,0
3,-1,0,UK,35.0,42.0,42.0,49.0,40.0,-0.21712,-0.21575,6,0,0,1,6,0
1,1,2,UK,54.0,42.0,55.0,49.0,40.0,-0.71126,-0.21575,5,2,0,0,0,0
2,1,0,UK,28.0,44.0,38.0,51.0,46.0,-1.37983,-2.07848,5,0,0,0,5,0
2,-1,0,UK,31.0,38.0,37.0,45.0,41.0,0.52975,0.40148,6,0,0,1,3,0
2,-1,1,UK,21.0,48.0,42.0,51.0,54.0,-0.71126,-0.52593,1,0,0,0,0,0
3,-1,1,Canada,37.0,32.0,43.0,35.0,42.0,-0.21712,0.7654,6,0,1,3,1,1
3,1,2,UK,31.0,41.0,38.0,56.0,47.0,1.29221,0.40148,4,1,0,1,1,0
4,-1,1,UK,38.0,31.0,45.0,40.0,40.0,0.19268,-1.18084,6,1,0,1,0,0
2,-1,2,UK,30.0,43.0,41.0,44.0,48.0,-0.21712,-0.52593,4,0,0,0,0,0
2,1,1,UK,35.0,32.0,28.0,37.0,44.0,-1.37983,-1.54858,4,0,0,0,0,0
3,1,2,UK,28.0,52.0,41.0,55.0,52.0,-0.21712,-1.18084,4,0,0,2,1,0
2,1,1,UK,33.0,48.0,47.0,47.0,49.0,0.19268,0.07987,5,0,0,0,1,0
2,1,2,UK,41.0,28.0,33.0,46.0,35.0,-0.71126,-0.84637,5,0,2,2,2,0
1,1,2,UK,31.0,29.0,41.0,39.0,37.0,-2.55524,-1.54858,5,2,2,2,5,1
1,-1,2,UK,29.0,46.0,34.0,48.0,47.0,-0.21712,-0.52593,6,1,0,1,1,0
0,1,1,UK,59.0,30.0,51.0,40.0,46.0,-0.21712,0.7654,5,5,0,0,0,0
2,1,2,UK,42.0,30.0,37.0,45.0,40.0,-0.71126,-0.84637,5,0,0,0,0,0
2,1,1,UK,48.0,40.0,44.0,50.0,43.0,0.19268,-0.52593,5,1,2,2,5,0
1,-1,0,UK,26.0,47.0,33.0,40.0,47.0,-0.21712,0.7654,6,0,0,0,1,0
2,1,2,Australia,33.0,41.0,44.0,41.0,45.0,0.88113,1.2247,3,0,0,0,0,0
3,1,1,UK,31.0,36.0,42.0,44.0,44.0,-0.21712,-1.18084,4,0,0,0,0,0
2,-1,2,UK,29.0,42.0,40.0,54.0,39.0,-0.71126,-1.18084,5,0,0,0,4,0
1,1,1,UK,53.0,40.0,44.0,49.0,43.0,-0.21712,-0.84637,4,0,0,0,6,0
1,1,2,UK,37.0,42.0,35.0,52.0,49.0,-1.37983,-0.52593,3,0,1,1,1,0
3,-1,2,UK,33.0,38.0,44.0,40.0,52.0,-1.37983,-0.84637,6,0,0,1,0,1
0,-1,1,UK,50.0,31.0,51.0,27.0,27.0,0.88113,0.07987,5,0,3,4,6,3
1,1,1,UK,36.0,40.0,39.0,40.0,48.0,0.52975,-0.52593,2,0,0,0,0,0
1,1,2,UK,38.0,48.0,37.0,41.0,33.0,0.52975,0.40148,5,0,2,0,1,0
0,1,0,UK,32.0,40.0,36.0,47.0,41.0,-0.71126,0.40148,5,3,0,0,4,0
3,-1,0,UK,49.0,38.0,44.0,44.0,41.0,0.88113,0.40148,2,3,3,2,1,0
2,-1,2,UK,32.0,46.0,2.15324,48.0,36.0,1.29221,1.92173,6,1,0,1,1,1
3,1,1,UK,41.0,36.0,43.0,40.0,47.0,0.19268,-1.18084,5,0,0,2,5,1
2,1,2,UK,46.0,44.0,54.0,44.0,44.0,0.52975,0.40148,6,0,0,0,0,0
2,1,1,UK,46.0,36.0,30.0,48.0,30.0,0.88113,0.07987,6,2,0,0,6,0
4,1,2,UK,42.0,40.0,49.0,51.0,43.0,0.19268,0.07987,5,0,0,1,3,0
2,1,2,UK,34.0,36.0,40.0,35.0,38.0,-1.37983,-1.18084,3,0,0,0,0,0
2,1,2,UK,50.0,40.0,37.0,37.0,49.0,-0.71126,-0.52593,5,0,0,0,0,0
3,1,2,UK,44.0,33.0,43.0,48.0,41.0,0.19268,-0.21575,5,0,1,1,6,1
2,1,1,UK,40.0,39.0,39.0,50.0,37.0,-1.37983,-1.18084,5,0,1,2,6,1
3,1,1,UK,39.0,44.0,35.0,45.0,48.0,0.19268,0.07987,5,0,0,0,2,0
1,-1,2,UK,24.0,37.0,44.0,47.0,48.0,-0.71126,-1.18084,5,0,0,0,0,0
2,1,1,UK,39.0,45.0,44.0,51.0,47.0,-1.37983,-1.18084,5,0,0,0,0,0
0,1,2,UK,54.0,37.0,48.0,38.0,48.0,-0.71126,0.40148,6,3,6,0,6,0
4,-1,0,UK,36.0,34.0,39.0,47.0,44.0,-1.37983,-1.18084,6,0,0,0,6,0
2,1,2,Canada,39.0,44.0,46.0,48.0,41.0,-0.21712,-0.52593,5,0,1,3,0,1
2,1,2,UK,29.0,49.0,47.0,45.0,53.0,-1.37983,-1.54858,6,0,0,1,1,0
4,1,0,UK,28.0,34.0,32.0,50.0,46.0,-1.37983,-1.54858,4,0,0,1,1,0
3,1,0,UK,40.0,30.0,31.0,47.0,40.0,-1.37983,-2.07848,4,2,0,0,6,0
0,1,2,UK,32.0,40.0,43.0,44.0,47.0,-0.71126,-0.84637,5,0,0,2,3,0
4,1,1,UK,23.0,40.0,40.0,47.0,40.0,-0.71126,-1.54858,5,1,0,0,0,0
0,-1,2,UK,32.0,48.0,38.0,47.0,38.0,0.52975,0.07987,5,0,0,2,2,0
1,1,1,Canada,28.0,38.0,45.0,45.0,38.0,0.88113,0.07987,5,1,1,5,6,1
3,1,2,UK,39.0,32.0,43.0,44.0,43.0,-1.37983,0.07987,5,0,0,1,0,1
1,1,2,Canada,27.0,48.0,46.0,43.0,45.0,-0.71126,-1.18084,3,0,0,2,0,0
4,1,2,UK,42.0,42.0,51.0,41.0,48.0,0.52975,0.07987,5,1,1,2,4,0
0,-1,2,UK,30.0,42.0,42.0,51.0,35.0,0.19268,-1.18084,4,0,0,0,0,0
4,1,2,UK,32.0,43.0,41.0,37.0,38.0,-0.71126,-0.84637,5,0,0,0,0,0
1,1,1,UK,35.0,43.0,50.0,48.0,42.0,1.86203,1.2247,6,5,5,6,6,3
3,1,1,UK,31.0,54.0,51.0,54.0,50.0,0.52975,0.07987,4,2,6,4,6,4
0,1,2,UK,30.0,41.0,40.0,50.0,51.0,0.52975,1.2247,6,0,0,0,0,0
2,-1,2,UK,34.0,33.0,42.0,34.0,50.0,-0.71126,-0.84637,5,3,4,2,4,2
2,1,2,UK,29.0,48.0,43.0,49.0,49.0,0.19268,-0.84637,6,3,0,1,1,0
5,-1,0,UK,22.0,32.0,29.0,37.0,37.0,-1.37983,-2.07848,5,0,0,0,6,0
1,1,2,UK,34.0,46.0,54.0,43.0,44.0,-0.21712,0.40148,5,2,2,2,4,2
2,1,0,UK,34.0,47.0,48.0,37.0,34.0,1.86203,0.40148,5,3,0,0,0,0
0,1,2,UK,35.0,48.0,50.0,44.0,45.0,0.88113,0.07987,5,0,0,0,0,0
2,1,1,UK,29.0,43.0,42.0,47.0,41.0,-0.21712,0.40148,5,4,3,6,6,1
2,1,2,UK,37.0,40.0,45.0,41.0,42.0,0.52975,1.2247,4,3,4,6,6,3
1,-1,2,UK,23.0,43.0,53.0,40.0,49.0,-1.37983,-0.84637,0,0,0,0,0,0
1,1,1,UK,43.0,41.0,36.0,43.0,32.0,1.86203,0.7654,3,0,0,0,0,0
3,1,0,UK,29.0,36.0,38.0,50.0,48.0,-1.37983,-2.07848,5,0,0,0,0,0
1,1,1,UK,37.0,44.0,40.0,54.0,46.0,-0.21712,-1.18084,6,1,1,1,6,1
3,1,1,Ireland,41.0,39.0,37.0,49.0,43.0,-1.37983,-1.54858,5,1,0,0,0,0
1,1,1,UK,34.0,47.0,49.0,51.0,50.0,0.19268,1.2247,5,0,0,2,2,0
1,1,2,Canada,51.0,38.0,41.0,50.0,39.0,0.19268,0.07987,5,0,3,4,3,2
1,1,1,UK,38.0,47.0,48.0,52.0,42.0,0.88113,0.7654,5,3,2,1,3,0
2,-1,1,UK,48.0,45.0,49.0,52.0,29.0,1.86203,0.7654,2,1,1,1,6,1
2,1,1,UK,32.0,36.0,47.0,50.0,44.0,-1.37983,-0.84637,6,1,2,1,6,0
0,1,2,UK,44.0,38.0,48.0,43.0,43.0,0.19268,0.07987,5,2,3,3,3,0
1,1,2,UK,34.0,43.0,43.0,38.0,48.0,0.52975,-0.52593,3,0,0,0,2,0
2,1,2,UK,33.0,44.0,51.0,50.0,44.0,1.29221,1.2247,6,0,2,2,2,1
4,-1,2,UK,25.0,47.0,44.0,50.0,48.0,-0.21712,0.07987,1,0,0,0,1,0
3,1,2,UK,31.0,49.0,48.0,46.0,47.0,-0.21712,-0.21575,5,0,0,0,0,0
2,1,2,UK,24.0,44.0,52.0,40.0,44.0,-1.37983,-1.54858,6,0,3,0,6,0
3,1,2,UK,31.0,43.0,41.0,52.0,51.0,-0.21712,-0.84637,5,0,0,1,1,0
0,-1,1,UK,38.0,46.0,39.0,39.0,46.0,1.29221,0.40148,5,0,0,4,4,0
3,-1,2,UK,29.0,42.0,46.0,38.0,41.0,0.19268,0.07987,6,1,1,2,2,1
3,1,2,UK,26.0,49.0,47.0,49.0,52.0,-1.37983,-2.07848,6,0,0,1,0,0
2,1,1,UK,46.0,23.0,33.0,47.0,45.0,-1.37983,-1.54858,5,2,0,1,3,0
5,1,2,UK,37.0,32.0,43.0,40.0,44.0,-0.21712,-1.54858,6,1,0,0,1,0
1,1,2,UK,36.0,48.0,46.0,44.0,47.0,0.52975,0.7654,5,0,1,0,0,1
3,-1,2,UK,29.0,45.0,36.0,49.0,44.0,0.52975,0.40148,6,0,0,0,0,0
1,1,2,UK,40.0,46.0,46.0,37.0,52.0,0.19268,0.40148,4,0,0,2,2,0
1,1,1,UK,36.0,46.0,37.0,56.0,54.0,-1.37983,-2.07848,5,3,0,0,0,0
1,1,2,UK,50.0,42.0,45.0,46.0,45.0,0.19268,-0.21575,6,0,0,0,0,0
1,1,0,UK,45.0,39.0,30.0,45.0,50.0,-1.37983,-2.07848,5,1,1,3,6,0
0,1,0,UK,41.0,39.0,41.0,39.0,44.0,-0.21712,-0.21575,4,0,0,0,0,0
3,1,1,UK,20.0,44.0,51.0,53.0,44.0,-1.37983,-0.84637,5,0,0,0,0,0
2,1,2,UK,42.0,31.0,46.0,53.0,56.0,-1.37983,-0.84637,4,0,0,0,1,1
0,1,1,UK,50.0,29.0,24.0,48.0,35.0,-1.37983,-1.54858,5,0,3,0,4,0
1,1,2,UK,30.0,47.0,51.0,49.0,48.0,-1.37983,-0.21575,5,2,3,3,5,0
2,-1,2,UK,54.0,29.0,45.0,50.0,20.0,-0.71126,-0.52593,5,3,1,1,0,0
1,1,1,UK,33.0,33.0,34.0,33.0,31.0,-2.55524,-1.54858,5,0,1,1,6,0
1,1,1,UK,49.0,35.0,37.0,46.0,37.0,-0.21712,-0.84637,5,2,0,2,5,0
3,-1,2,UK,27.0,38.0,38.0,47.0,52.0,-0.21712,-0.52593,6,0,0,0,0,0
3,1,2,UK,16.0,41.0,44.0,55.0,53.0,-0.71126,-1.18084,5,0,0,0,0,0
3,1,1,UK,47.0,42.0,45.0,49.0,49.0,-0.71126,-0.21575,5,0,0,0,6,0
3,-1,2,UK,31.0,41.0,44.0,40.0,51.0,0.19268,-0.84637,5,0,0,0,0,0
2,1,2,UK,42.0,33.0,41.0,42.0,47.0,-1.37983,-1.54858,4,0,0,0,0,0
0,1,2,UK,23.0,46.0,42.0,56.0,54.0,-0.71126,-0.21575,5,0,0,2,2,0
3,1,2,UK,28.0,41.0,48.0,43.0,48.0,-1.37983,-2.07848,6,0,2,2,2,0
1,-1,1,UK,49.0,35.0,41.0,37.0,40.0,-1.37983,-0.84637,4,0,0,3,3,0
2,1,2,UK,25.0,51.0,53.0,51.0,47.0,0.19268,0.40148,5,0,1,2,2,0
0,1,1,UK,31.0,44.0,44.0,48.0,48.0,-0.71126,-0.21575,4,0,2,2,0,0
2,-1,2,UK,36.0,40.0,52.0,25.0,40.0,-0.71126,0.07987,4,1,2,1,4,1
5,-1,2,UK,41.0,39.0,43.0,33.0,53.0,-0.71126,-1.54858,5,5,0,0,0,0
5,-1,1,UK,26.0,38.0,48.0,46.0,47.0,-0.21712,-0.52593,6,0,0,0,0,0
3,1,1,UK,31.0,46.0,2.15324,37.0,42.0,1.86203,1.2247,5,0,0,2,0,1
4,-1,2,UK,29.0,37.0,51.0,43.0,41.0,1.86203,0.07987,2,2,0,1,6,1
3,-1,2,UK,27.0,45.0,44.0,49.0,44.0,-1.37983,-1.54858,3,0,0,0,0,0
4,1,0,UK,26.0,40.0,46.0,53.0,49.0,-0.71126,-1.54858,5,0,0,0,1,0
0,1,2,UK,31.0,41.0,46.0,47.0,46.0,-1.37983,-1.18084,5,0,0,2,0,0
2,1,2,UK,33.0,40.0,43.0,43.0,42.0,-0.71126,-2.07848,2,0,0,0,0,0
4,-1,2,UK,25.0,39.0,45.0,45.0,47.0,-0.21712,0.07987,6,0,1,3,1,1
2,-1,1,UK,27.0,49.0,37.0,40.0,42.0,-0.21712,0.07987,6,0,0,0,0,0
3,1,2,UK,26.0,51.0,50.0,46.0,54.0,-0.21712,-0.52593,6,0,0,1,1,0
