Iso3_code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE,Source
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,13566.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,10165.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2012,Counts,762009.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,66211.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,49260.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,321535.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,1093.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,2951.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,3089.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,8951.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2013,Counts,726800.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,67081.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,48369.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,373464.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,1172.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,2903.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,3163.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,9900.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2014,Counts,731100.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,68002.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,50708.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,430583.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,1206.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,3714.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,3516.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,21187.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2015,Counts,764100.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,70986.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,53411.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,466722.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,1111.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,3950.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,3638.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,23749.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2016,Counts,803000.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,72964.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,55724.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,512976.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,1053.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,3944.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,4101.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,24546.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2017,Counts,810319.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,72634.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,57802.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,547060.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,1055.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,4049.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,4546.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,25359.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2018,Counts,810982.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,72384.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,63677.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,952.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,3846.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,5041.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,35519.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2019,Counts,822017.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,71745.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,69379.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,768.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,3231.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,4249.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,42678.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2020,Counts,921505.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,74916.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,74613.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,892.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,3552.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,4818.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,47819.0,CTS
USA,USA,Americas,Northern America,Violent offences,by type of offence,Serious assault,Total,Total,2021,Counts,943774.473680806,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2003,Counts,3198.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2003,Counts,3125.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2003,Counts,71.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2003,Counts,53.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,3457.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,2814.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,80.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,353.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2004,Counts,74.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,3896.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,2799.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,46.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,347.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,74.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2005,Counts,289.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,4488.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,2367.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,53.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,343.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,81.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2006,Counts,351.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,4660.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,1991.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,67.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,284.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,106.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2007,Counts,338.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,4732.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,2035.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,83.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,319.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,77.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2008,Counts,342.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,4791.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,1860.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,82.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,269.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,146.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2009,Counts,302.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,611.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,4301.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,1717.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,56.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,260.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,134.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2010,Counts,229.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,676.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,3780.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,1516.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,66.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,219.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,109.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2011,Counts,278.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,638.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,3637.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,1388.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,45.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,227.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,101.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2012,Counts,235.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,594.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,3231.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,1728.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,59.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,253.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,81.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2013,Counts,198.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,550.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,3290.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,2189.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,44.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,234.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,53.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2014,Counts,235.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,532.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,3593.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,3019.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,65.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,228.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,92.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2015,Counts,336.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,537.0,CTS
CAN,Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3775.0,CTS
GBR_E_W,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,3849.0,CTS
GBR_NI,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,81.0,CTS
GBR_S,UK,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,230.0,CTS
IRL,Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,Total,Total,2016,Counts,74.0,CTS
